,Week,Name1,Score1,Name2,Score2,Type
0,1,CMC - 19,121.15,"I suck shit every year, too",122.5,Regular
1,1,Gurleys Thielen My Chubby,126.55,CeeDeez D Kupps,108.7,Regular
2,1,"Julio Think You Are, I Am",164.8,I suck shit Every year,165.95,Regular
3,1,Keep Kamarica Great,117.15,Bourbon Bowl Champs,155.2,Regular
4,1,Succop Mi Johnson,99.55,Catalina Wine Mixon,94,Regular
5,2,"Julio Think You Are, I Am",145.6,CMC - 19,116.9,Regular
6,2,"I suck shit every year, too",137.3,Keep Kamarica Great,146.2,Regular
7,2,I suck shit Every year,110.05,Succop Mi Johnson,117.4,Regular
8,2,CeeDeez D Kupps,160.9,Bourbon Bowl Champs,177.85,Regular
9,2,Catalina Wine Mixon,127.25,Gurleys Thielen My Chubby,149.25,Regular
10,3,CMC - 19,128.05,I suck shit Every year,130.85,Regular
11,3,Bourbon Bowl Champs,119.1,Gurleys Thielen My Chubby,142.3,Regular
12,3,Catalina Wine Mixon,164.05,"Julio Think You Are, I Am",137.65,Regular
13,3,Succop Mi Johnson,113,Keep Kamarica Great,129.75,Regular
14,3,"I suck shit every year, too",116,CeeDeez D Kupps,146.6,Regular
15,4,Keep Kamarica Great,103.6,Gurleys Thielen My Chubby,138.4,Regular
16,4,Bourbon Bowl Champs,140.95,"I suck shit every year, too",106.55,Regular
17,4,CeeDeez D Kupps,158.2,I suck shit Every year,114.05,Regular
18,4,CMC - 19,109.65,Catalina Wine Mixon,156.8,Regular
19,4,"Julio Think You Are, I Am",128.4,Succop Mi Johnson,140.45,Regular
20,5,Succop Mi Johnson,133.25,CMC - 19,95.1,Regular
21,5,I suck shit Every year,115.95,Catalina Wine Mixon,117.25,Regular
22,5,Keep Kamarica Great,115,CeeDeez D Kupps,123.3,Regular
23,5,Bourbon Bowl Champs,129.7,"Julio Think You Are, I Am",117.75,Regular
24,5,Gurleys Thielen My Chubby,142.05,"I suck shit every year, too",147,Regular
25,6,"Julio Think You Are, I Am",90.2,Catalina Wine Mixon,88.9,Regular
26,6,CeeDeez D Kupps,99.5,"I suck shit every year, too",124.5,Regular
27,6,Bourbon Bowl Champs,77.85,Keep Kamarica Great,155.65,Regular
28,6,CMC - 19,140,Gurleys Thielen My Chubby,119.25,Regular
29,6,Succop Mi Johnson,120.4,I suck shit Every year,143.65,Regular
30,7,Succop Mi Johnson,122.9,"Julio Think You Are, I Am",153.6,Regular
31,7,Catalina Wine Mixon,123.75,CMC - 19,122.3,Regular
32,7,Bourbon Bowl Champs,102.4,CeeDeez D Kupps,84.4,Regular
33,7,Keep Kamarica Great,96.8,"I suck shit every year, too",210.4,Regular
34,7,Gurleys Thielen My Chubby,100.05,I suck shit Every year,98.4,Regular
35,8,"I suck shit every year, too",113.75,Bourbon Bowl Champs,141.95,Regular
36,8,I suck shit Every year,85.75,"Julio Think You Are, I Am",96.65,Regular
37,8,CMC - 19,67.3,Succop Mi Johnson,158.25,Regular
38,8,CeeDeez D Kupps,140.15,Gurleys Thielen My Chubby,66.25,Regular
39,8,Catalina Wine Mixon,140.3,Keep Kamarica Great,146.2,Regular
40,9,Gurleys Thielen My Chubby,119.15,Bourbon Bowl Champs,158.6,Regular
41,9,I suck shit Every year,113.95,CMC - 19,128.6,Regular
