,Week,Name1,Score1,Name2,Score2,Type
0,1,I Need Moore Beer,143.25,Chubby Makes Me Waddle,102.85,Regular
1,1,The Replacements,138.3,Rhamondre Deez Nuts,131.3,Regular
2,1,Cee Is 4 Cheesy Deer,146.15,Fauci Ouchies,122.65,Regular
3,1,My keeper just Quit football,127.35,Mayor of  Griddy City,128.35,Regular
4,1,This is Jeopardy,97.65,Kareem'n Mahomies,155.45,Regular
5,2,My keeper just Quit football,158.75,Fauci Ouchies,109.3,Regular
6,2,Kareem'n Mahomies,167.05,Rhamondre Deez Nuts,113.25,Regular
7,2,Mayor of  Griddy City,137.95,The Replacements,105.45,Regular
8,2,Chubby Makes Me Waddle,128.3,I Need Moore Beer,84.75,Regular
9,2,Cee Is 4 Cheesy Deer,145.75,This is Jeopardy,131.25,Regular
10,3,Cee Is 4 Cheesy Deer,127.85,My keeper just Quit football,145.25,Regular
11,3,Kareem'n Mahomies,170.3,I Need Moore Beer,131.6,Regular
12,3,Chubby Makes Me Waddle,119.45,This is Jeopardy,95.75,Regular
13,3,Mayor of  Griddy City,104.7,Rhamondre Deez Nuts,113.9,Regular
14,3,The Replacements,101.2,Fauci Ouchies,123.8,Regular
15,4,I Need Moore Beer,164.3,Cee Is 4 Cheesy Deer,127.45,Regular
16,4,Kareem'n Mahomies,115.7,Mayor of  Griddy City,125,Regular
17,4,The Replacements,126.9,My keeper just Quit football,132.4,Regular
18,4,Rhamondre Deez Nuts,124.85,Chubby Makes Me Waddle,122.6,Regular
19,4,Fauci Ouchies,115.8,This is Jeopardy,105.6,Regular
20,5,Rhamondre Deez Nuts,137.6,Fauci Ouchies,175.55,Regular
21,5,Chubby Makes Me Waddle,158.2,Kareem'n Mahomies,145.8,Regular
22,5,My keeper just Quit football,127.5,This is Jeopardy,144.5,Regular
23,5,Mayor of  Griddy City,102.3,I Need Moore Beer,136.6,Regular
24,5,The Replacements,192.05,Cee Is 4 Cheesy Deer,132.95,Regular
25,6,Fauci Ouchies,125.25,Cee Is 4 Cheesy Deer,201.55,Regular
26,6,Kareem'n Mahomies,128.85,My keeper just Quit football,123.15,Regular
27,6,I Need Moore Beer,132.75,Rhamondre Deez Nuts,156.75,Regular
28,6,The Replacements,161.05,This is Jeopardy,116.25,Regular
29,6,Chubby Makes Me Waddle,89.15,Mayor of  Griddy City,108,Regular
30,7,The Replacements,59,Kareem'n Mahomies,76.1,Regular
31,7,Cee Is 4 Cheesy Deer,110.35,Chubby Makes Me Waddle,122.15,Regular
32,7,My keeper just Quit football,144.25,Rhamondre Deez Nuts,166.1,Regular
33,7,This is Jeopardy,168.2,Mayor of  Griddy City,105.4,Regular
34,7,Fauci Ouchies,105.95,I Need Moore Beer,113.5,Regular
35,8,I Need Moore Beer,145.35,This is Jeopardy,109.1,Regular
36,8,Rhamondre Deez Nuts,129.55,Cee Is 4 Cheesy Deer,130.75,Regular
37,8,Mayor of  Griddy City,106.65,My keeper just Quit football,118.2,Regular
38,8,Chubby Makes Me Waddle,61.75,The Replacements,132.65,Regular
39,8,Kareem'n Mahomies,134.25,Fauci Ouchies,73.2,Regular
40,9,The Replacements,79.8,Rhamondre Deez Nuts,106.5,Regular
41,9,Fauci Ouchies,95.6,Chubby Makes Me Waddle,105.2,Regular
42,9,This is Jeopardy,141,Kareem'n Mahomies,93.4,Regular
43,9,Cee Is 4 Cheesy Deer,98.2,Mayor of  Griddy City,140.15,Regular
44,9,My keeper just Quit football,99.6,I Need Moore Beer,93.5,Regular
45,10,Cee Is 4 Cheesy Deer,115.65,Fauci Ouchies,114.8,Regular
46,10,Rhamondre Deez Nuts,117.45,I Need Moore Beer,114.9,Regular
47,10,My keeper just Quit football,131.2,Chubby Makes Me Waddle,115.25,Regular
48,10,Mayor of  Griddy City,104.85,Kareem'n Mahomies,115.7,Regular
49,10,This is Jeopardy,82.55,The Replacements,123.6,Regular
50,11,Rhamondre Deez Nuts,138.6,Mayor of  Griddy City,158.15,Regular
51,11,Kareem'n Mahomies,113.25,Chubby Makes Me Waddle,131.1,Regular
52,11,This is Jeopardy,133.85,Fauci Ouchies,126.85,Regular
53,11,I Need Moore Beer,137.7,The Replacements,87.85,Regular
54,11,My keeper just Quit football,113.85,Cee Is 4 Cheesy Deer,123.25,Regular
55,12,I Need Moore Beer,147.75,Kareem'n Mahomies,84.1,Regular
56,12,Mayor of  Griddy City,120.7,Chubby Makes Me Waddle,103.75,Regular
57,12,Fauci Ouchies,85.35,My keeper just Quit football,88.25,Regular
58,12,Rhamondre Deez Nuts,106.75,This is Jeopardy,124.55,Regular
59,12,Cee Is 4 Cheesy Deer,148.3,The Replacements,127,Regular
60,13,Chubby Makes Me Waddle,109.75,Rhamondre Deez Nuts,102.65,Regular
61,13,Cee Is 4 Cheesy Deer,149.15,Kareem'n Mahomies,114,Regular
62,13,My keeper just Quit football,101.55,This is Jeopardy,152,Regular
63,13,The Replacements,106.35,Fauci Ouchies,122.05,Regular
64,13,I Need Moore Beer,138.9,Mayor of  Griddy City,163.5,Regular
65,14,My keeper just Quit football,90.15,The Replacements,115,Regular
66,14,Mayor of  Griddy City,133.2,Fauci Ouchies,147.75,Regular
67,14,This is Jeopardy,141.55,Cee Is 4 Cheesy Deer,139.15,Regular
68,14,I Need Moore Beer,139.15,Chubby Makes Me Waddle,97.45,Regular
69,14,Rhamondre Deez Nuts,152.1,Kareem'n Mahomies,111.1,Regular
70,15,,,Cee Is 4 Cheesy Deer,82,Playoff
71,15,This is Jeopardy,100.6,Rhamondre Deez Nuts,120.95,Playoff
72,15,Kareem'n Mahomies,122.3,Mayor of  Griddy City,64.95,Playoff
73,15,,,I Need Moore Beer,70.35,Playoff
74,15,Chubby Makes Me Waddle,142.2,My keeper just Quit football,128.3,Consolation
75,15,Fauci Ouchies,91.15,The Replacements,146.6,Consolation
76,16,Rhamondre Deez Nuts,140.25,Cee Is 4 Cheesy Deer,128.35,Playoff
77,16,Kareem'n Mahomies,114.8,I Need Moore Beer,116.6,Playoff
78,16,This is Jeopardy,112.6,Mayor of  Griddy City,121.95,Consolation
79,16,The Replacements,91.2,Chubby Makes Me Waddle,155.9,Consolation
80,16,Fauci Ouchies,140.65,My keeper just Quit football,122.5,Consolation
81,17,Rhamondre Deez Nuts,178.4,I Need Moore Beer,136.8,Playoff
82,17,Kareem'n Mahomies,110.55,Cee Is 4 Cheesy Deer,128.25,Consolation
83,17,This is Jeopardy,95.4,Mayor of  Griddy City,115.95,Consolation
84,17,Fauci Ouchies,107.65,Chubby Makes Me Waddle,93.95,Consolation
85,17,The Replacements,101.1,My keeper just Quit football,118.15,Consolation
