,Week,Name1,Score1,Name2,Score2,Type
0,1,Stefon Up and Try Me,132.4,Bourbon Bowl Champs,125.75,Regular
1,1,Take a look at  my Chubb,105.9,Cookin' on the Conner,98.95,Regular
2,1,Who's Your Caddy?,92.95,The Blind Ribeyes,147.3,Regular
3,1,Doyle’s Hard Seltzers ,150.1,Thielen  A Repeat ,98,Regular
4,1,Good JuJu,107.6,Cosby's Sleeper Picks,182.95,Regular
5,2,The Blind Ribeyes,150.4,Take a look at  my Chubb,140.6,Regular
6,2,Cosby's Sleeper Picks,95.35,Cookin' on the Conner,126.45,Regular
7,2,Stefon Up and Try Me,136.7,Who's Your Caddy?,94.1,Regular
8,2,Thielen  A Repeat ,105.45,Good JuJu,86.15,Regular
9,2,Bourbon Bowl Champs,133.15,Doyle’s Hard Seltzers ,119.95,Regular
10,3,The Blind Ribeyes,182.35,Cosby's Sleeper Picks,135.1,Regular
11,3,Cookin' on the Conner,106.75,Good JuJu,115.35,Regular
12,3,Thielen  A Repeat ,157.5,Stefon Up and Try Me,120.45,Regular
13,3,Doyle’s Hard Seltzers ,121.9,Take a look at  my Chubb,127.7,Regular
14,3,Who's Your Caddy?,100,Bourbon Bowl Champs,146.25,Regular
15,4,Cookin' on the Conner,140.7,The Blind Ribeyes,121.65,Regular
16,4,Stefon Up and Try Me,149.05,Doyle’s Hard Seltzers ,94.35,Regular
17,4,Who's Your Caddy?,78.3,Thielen  A Repeat ,97.8,Regular
18,4,Take a look at  my Chubb,113.55,Good JuJu,129.65,Regular
19,4,Cosby's Sleeper Picks,88.75,Bourbon Bowl Champs,123.4,Regular
20,5,Cookin' on the Conner,152.4,Stefon Up and Try Me,152.35,Regular
21,5,Take a look at  my Chubb,112.4,Cosby's Sleeper Picks,149.15,Regular
22,5,Doyle’s Hard Seltzers ,131.5,Who's Your Caddy?,112.8,Regular
23,5,Bourbon Bowl Champs,108.7,Thielen  A Repeat ,164.6,Regular
24,5,Good JuJu,127.8,The Blind Ribeyes,113.35,Regular
25,6,Cosby's Sleeper Picks,127.7,The Blind Ribeyes,136.9,Regular
26,6,Cookin' on the Conner,112.05,Take a look at  my Chubb,183.8,Regular
27,6,Doyle’s Hard Seltzers ,106.05,Bourbon Bowl Champs,108.5,Regular
